Studentnummer,Naam,Klas,Mentor,Instelling,Opleiding,crebo,leerweg,cohort,StudentAge,StudentGender,Dropout,Aanmel_aantal,max1studie,absence_unauthorized,absence_authorized,Richting_nan,Economie,Landbouw,Techniek,DSV,Zorgenwelzijn,Anders,VooroplNiveau_HAVO,VooroplNiveau_MBO,VooroplNiveau_basis,VooroplNiveau_educatie,VooroplNiveau_prak,VooroplNiveau_VMBO_BB,VooroplNiveau_VMBO_GL,VooroplNiveau_VMBO_KB,VooroplNiveau_VMBO_TL,VooroplNiveau_nan,VooroplNiveau_VWOplus,VooroplNiveau_other
100000,Eva Dijkstra,3B,B. de Vries,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,1.8,0.1,13.8,14.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100001,Sophie Hoekstra,3B,C. Hendriks,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,1.3,0.1,2.9,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100002,Joris de Groot,3B,F. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,1.2,0.0,10.5,18.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100003,Anna Meijer,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,24,1,0,2.1,1.0,13.7,7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100004,Aisha van Dijk,3B,F. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,18,1,0,1.9,0.5,1.5,17.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100005,Lieke Koster,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,0,0,2.7,0.3,42.9,11.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100006,Stijn de Boer,3B,B. Koster,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,21,1,0,2.0,0.1,5.6,1.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100007,Tess Huisman,3B,C. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,16,0,0,1.2,0.5,3.3,2.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100008,Maud Dijkstra,3B,F. Hoekstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,2.9,0.9,1.6,8.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100009,Eva de Boer,3B,F. Dijkstra,Da Vinci,Eerste Monteur Elektrotechnische Installaties,25736,BOL,2025,19,1,0,2.8,0.5,4.5,40.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
